id,host_id,bathrooms_text,bedrooms,beds
36421679,238989521,1 shared bath,1,1
38215588,241676154,1 shared bath,1,1
38325701,30509656,1 shared bath,1,1
38325984,30509656,1 shared bath,1,1
38526734,49867487,2 shared baths,1,1
39627703,304261640,1 shared bath,1,1
42064801,333405407,1 shared bath,1,
42769704,19303369,1 shared bath,1,1
43043013,204704622,2 shared baths,1,1
43044060,204704622,2.5 shared baths,1,1
43053681,204704622,1 shared bath,1,1
43375507,204704622,1 shared bath,1,1
43388163,204704622,1 shared bath,1,1
43668339,204704622,1 shared bath,1,1
43986314,19303369,1 shared bath,1,1
45105081,43825074,2 shared baths,1,
45287391,19303369,1 shared bath,1,1
45673305,200239515,3 shared baths,1,1
46277582,19303369,1 shared bath,1,1
47101654,3223938,1 shared bath,1,1
48070696,241676154,1 shared bath,1,1
48451638,3223938,1 shared bath,1,1
48463899,200239515,1 shared bath,1,1
48718623,200239515,1.5 shared baths,1,1
48718972,204704622,2.5 shared baths,1,1
49125584,3223938,1 shared bath,1,
49283219,3223938,1 shared bath,1,1
50652939,3223938,1 shared bath,1,1
50821791,3223938,2 shared baths,1,1
51402585,3223938,1 shared bath,1,1
51603112,241676154,1 shared bath,1,1
52607778,3223938,1 shared bath,1,1
52759509,96571275,1 shared bath,1,
52846661,3223938,2 shared baths,1,1
53357737,248743490,1.5 shared baths,1,1
53471515,3223938,2 shared baths,1,1
53497691,375524835,1 shared bath,1,1
53571310,19303369,1 shared bath,1,1
53770033,204704622,1 shared bath,1,1
53770231,204704622,1 shared bath,1,1
53916514,3223938,2 shared baths,1,1
54095786,3223938,2 shared baths,1,1
5.45E+17,30509656,1 shared bath,1,1
5.45E+17,30509656,1 shared bath,1,1
5.45E+17,30509656,1 shared bath,1,1
5.74E+17,3223938,1 shared bath,1,1
5.80E+17,3223938,2 shared baths,1,1
6.07E+17,3223938,1 shared bath,1,1
6.10E+17,30509656,1 shared bath,1,1
6.10E+17,30509656,1 shared bath,1,1
6.10E+17,30509656,1 shared bath,1,1
6.26E+17,3223938,1 shared bath,1,1
6.29E+17,19303369,1 shared bath,1,1
6.35E+17,3223938,1 shared bath,1,1
6.64E+17,157870939,1 shared bath,1,1
6.65E+17,200239515,1 shared bath,1,1
6.98E+17,19303369,1 shared bath,1,1
7.27E+17,19303369,1 shared bath,1,1
7.45E+17,484932415,1 shared bath,1,1
7.47E+17,484932415,1 shared bath,1,1
7.48E+17,484932415,1 shared bath,1,1
3415505,1507633,1 bath,1,1
6403795,21090508,2 shared baths,1,1
8082651,42691960,1.5 shared baths,1,1
10526745,54279433,1 bath,1,1
10886628,56412357,1 bath,1,1
12751471,4497670,1 bath,1,1
12954148,24517762,1 bath,1,1
12955940,71211231,1 bath,1,1
13362486,75828613,1 bath,1,1
13808262,177922,1.5 shared baths,1,1
17023406,114178347,1 shared bath,1,1
18984088,2511668,1 shared bath,1,1
19355497,1221228,1 shared bath,1,1
20583998,51524470,1 shared bath,1,1
22280404,116411135,2 shared baths,1,1
22432497,164303137,2 baths,3,1
24019880,9263105,1 private bath,1,1
26456925,137358866,1 shared bath,1,1
26744053,200933726,1 shared bath,1,1
27113697,19303369,2 shared baths,1,1
27141191,19303369,1 shared bath,1,1
27686998,137358866,1 shared bath,1,1
28897533,204704622,1 shared bath,1,1
28936795,200239515,1 shared bath,1,1
31626920,50339845,1 shared bath,1,1
31835627,152895936,1 shared bath,1,1
32406729,192383231,1 shared bath,1,1
32591286,19303369,1 shared bath,1,1
33849970,19303369,1 shared bath,1,1
38198444,137358866,1 shared bath,1,1
39633723,242393668,1 shared bath,1,
40896822,238989521,1 shared bath,1,
42693824,19303369,1 shared bath,1,1
43038479,204704622,1 shared bath,1,1
43042861,204704622,2 shared baths,1,1
43044308,204704622,1 shared bath,1,1
43374989,19303369,1 shared bath,1,1
43375941,19303369,1 shared bath,1,1
43667729,19303369,1 shared bath,1,1
43667881,204704622,1 shared bath,1,1
43788121,204704622,1 shared bath,1,1
43878655,19303369,1 shared bath,1,1
44491409,238989521,1 shared bath,1,1
45089745,204704622,1 shared bath,1,1
45286452,204704622,1 shared bath,1,1
45370387,3223938,2 shared baths,1,1
45797302,137358866,1 shared bath,1,1
45995828,19303369,2 shared baths,1,1
46055732,19303369,1 shared bath,1,1
46098057,3223938,1 shared bath,1,1
46297226,204704622,1 shared bath,1,1
46401930,19303369,1 shared bath,1,1
46795036,200239515,1 shared bath,1,1
46891080,200239515,1 shared bath,1,1
46971592,200239515,1 shared bath,1,1
47551613,200239515,2.5 shared baths,1,1
47833551,204704622,1 shared bath,1,1
47940310,204704622,1 shared bath,1,1
48384825,390535864,1 shared bath,1,1
48810194,390535864,1 shared bath,1,1
48871083,3223938,1 shared bath,1,1
49505001,3223938,1 shared bath,1,
49542448,147402286,1 shared bath,1,1
50313940,3223938,2 shared baths,1,1
50645659,3223938,2 shared baths,1,1
51343497,3223938,2 shared baths,1,1
51343758,3223938,2 shared baths,1,
51444991,3223938,1 shared bath,1,1
51711139,216235179,1 shared bath,1,1
52237124,3223938,1 private bath,1,1
52288632,51524470,1 shared bath,1,2
52418045,3223938,1 shared bath,1,1
52437036,208610094,1 shared bath,1,1
52500546,3223938,1 shared bath,1,1
52593641,3223938,1 shared bath,1,1
52846481,3223938,2 shared baths,1,1
52895785,3223938,2 shared baths,1,1
52923759,3223938,2 shared baths,1,1
53024119,3223938,1 shared bath,1,1
53024626,3223938,1 shared bath,1,1
53041846,3223938,1 shared bath,1,1
53075951,3223938,1 shared bath,1,1
53098339,19303369,1 shared bath,1,1
53195760,3223938,2 shared baths,1,1
53290905,200239515,1 shared bath,1,1
